Andi Pratama,L,Jakarta
Siti Rahmawati,P,Bandung
Budi Santoso,L,Surabaya
Dewi Lestari,P,Yogyakarta
Eko Wijaya,L,Medan
Fitriani Hasanah,P,Semarang
Gilang Ramadhan,L,Malang
Hana Putri,P,Makassar
Irfan Hakim,L,Palembang
Juwita Sari,P,Denpasar
Kurniawan Adi,L,Bekasi
Lina Marlina,P,Depok
Muhammad Fajar,L,Tangerang
Nina Kartika,P,Bogor
Oka Sudirman,L,Padang
Putri Ayu,P,Pekanbaru
Qori Maulana,L,Bandar Lampung
Rina Amelia,P,Balikpapan
Satria Nugroho,L,Pontianak
Tika Wulandari,P,Manado
Umar Faruq,L,Samarinda
Vina Anggraini,P,Cirebon
Wahyu Hidayat,L,Solo
Xenia Maharani,P,Jakarta
Yoga Prasetya,L,Bandung
Zahra Aulia,P,Surabaya
Agus Salim,L,Yogyakarta
Bella Safira,P,Medan
Cahyo Adi,L,Semarang
Dina Rahma,P,Malang
Erlangga Putra,L,Makassar
Farah Nabila,P,Palembang
Guntur Wibowo,L,Denpasar
Hesti Wulandari,P,Bekasi
Ilham Syahputra,L,Depok
Jihan Azzahra,P,Tangerang
Krisna Dewa,L,Bogor
Lestari Indah,P,Padang
Miko Hartono,L,Pekanbaru
Nadia Kusuma,P,Bandar Lampung
Oscar Diaz,L,Balikpapan
Puspita Sari,P,Pontianak
Rafi Ahmad,L,Manado
Salsa Bilbina,P,Samarinda
Tegar Pratama,L,Cirebon
Utami Dewi,P,Solo
Vino Baskoro,L,Jakarta
Wulan Guritno,P,Bandung
Yusuf Mansur,L,Surabaya
Zaskia Nur,P,Yogyakarta
Arief Maulana,L,Medan
Bunga Citra,P,Semarang
Candra Kirana,L,Malang
Dinda Hauwan,P,Makassar
Evan Dimas,L,Palembang
Feni Rosalina,P,Denpasar
Gading Putra,L,Bekasi
Hana Hanifah,P,Depok
Indra Lesmana,L,Tangerang
Jessica Mila,P,Bogor
Kevin Sanjaya,L,Padang
Luna Maharani,P,Pekanbaru
Maudy Kirana,P,Jakarta
Nino Fernandez,L,Bandung
Olla Ramadhan,P,Surabaya
Prilly Lestari,P,Yogyakarta
Reza Rahadian,L,Medan
Syahrini Putri,P,Semarang
Tulus Wibisono,L,Malang
Ussy Sulistia,P,Makassar
Vidi Aldiano,L,Palembang
Widyawati Ningsih,P,Denpasar
